#The MIME name of this charset.
Mwindows-1250

#Name as a Display Charset (used on Options screen)
OEastern European (windows-1250)

#Codepage number
C1250

#
#    Name:     cp1250 to Unicode table
#    Unicode version: 2.0
#    Table version: 2.01
#    Table format:  Format A
#    Date:          04/15/98
#
#    Contact:       cpxlate@microsoft.com
#
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp1250 code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp1250 order
#
##################

0x20-0x7e       idem
#
0x80	U+20AC	#EURO SIGN
0x81	      	#UNDEFINED
0x82	U+201A	#SINGLE LOW-9 QUOTATION MARK
0x83	      	#UNDEFINED
0x84	U+201E	#DOUBLE LOW-9 QUOTATION MARK
0x85	U+2026	#HORIZONTAL ELLIPSIS
0x86	U+2020	#DAGGER
0x87	U+2021	#DOUBLE DAGGER
0x88	      	#UNDEFINED
0x89	U+2030	#PER MILLE SIGN
0x8A	U+0160	#LATIN CAPITAL LETTER S WITH CARON
0x8B	U+2039	#SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0x8C	U+015A	#LATIN CAPITAL LETTER S WITH ACUTE
0x8D	U+0164	#LATIN CAPITAL LETTER T WITH CARON
0x8E	U+017D	#LATIN CAPITAL LETTER Z WITH CARON
0x8F	U+0179	#LATIN CAPITAL LETTER Z WITH ACUTE
0x90	      	#UNDEFINED
0x91	U+2018	#LEFT SINGLE QUOTATION MARK
0x92	U+2019	#RIGHT SINGLE QUOTATION MARK
0x93	U+201C	#LEFT DOUBLE QUOTATION MARK
0x94	U+201D	#RIGHT DOUBLE QUOTATION MARK
0x95	U+2022	#BULLET
0x96	U+2013	#EN DASH
0x97	U+2014	#EM DASH
0x98	      	#UNDEFINED
0x99	U+2122	#TRADE MARK SIGN
0x9A	U+0161	#LATIN SMALL LETTER S WITH CARON
0x9B	U+203A	#SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0x9C	U+015B	#LATIN SMALL LETTER S WITH ACUTE
0x9D	U+0165	#LATIN SMALL LETTER T WITH CARON
0x9E	U+017E	#LATIN SMALL LETTER Z WITH CARON
0x9F	U+017A	#LATIN SMALL LETTER Z WITH ACUTE
