#The MIME name of this charset.
Mwindows-1251

#Name as a Display Charset (used on Options screen)
OCyrillic (windows-1251)

#Codepage number
C1251

#
#    Name:     cp1251 to Unicode table
#    Unicode version: 2.0
#    Table version: 2.01
#    Table format:  Format A
#    Date:          04/15/98
#
#    Contact:       cpxlate@microsoft.com
#
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp1251 code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp1251 order
#
##################

0x20-0x7e       idem
#
0x80	U+0402	#CYRILLIC CAPITAL LETTER DJE
0x81	U+0403	#CYRILLIC CAPITAL LETTER GJE
0x82	U+201A	#SINGLE LOW-9 QUOTATION MARK
0x83	U+0453	#CYRILLIC SMALL LETTER GJE
0x84	U+201E	#DOUBLE LOW-9 QUOTATION MARK
0x85	U+2026	#HORIZONTAL ELLIPSIS
0x86	U+2020	#DAGGER
0x87	U+2021	#DOUBLE DAGGER
0x88	U+20AC	#EURO SIGN
0x89	U+2030	#PER MILLE SIGN
0x8A	U+0409	#CYRILLIC CAPITAL LETTER LJE
0x8B	U+2039	#SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0x8C	U+040A	#CYRILLIC CAPITAL LETTER NJE
0x8D	U+040C	#CYRILLIC CAPITAL LETTER KJE
0x8E	U+040B	#CYRILLIC CAPITAL LETTER TSHE
0x8F	U+040F	#CYRILLIC CAPITAL LETTER DZHE
0x90	U+0452	#CYRILLIC SMALL LETTER DJE
0x91	U+2018	#LEFT SINGLE QUOTATION MARK
0x92	U+2019	#RIGHT SINGLE QUOTATION MARK
0x93	U+201C	#LEFT DOUBLE QUOTATION MARK
0x94	U+201D	#RIGHT DOUBLE QUOTATION MARK
0x95	U+2022	#BULLET
0x96	U+2013	#EN DASH
0x97	U+2014	#EM DASH
0x98	      	#UNDEFINED
0x99	U+2122	#TRADE MARK SIGN
0x9A	U+0459	#CYRILLIC SMALL LETTER LJE
0x9B	U+203A	#SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0x9C	U+045A	#CYRILLIC SMALL LETTER NJE
0x9D	U+045C	#CYRILLIC SMALL LETTER KJE
0x9E	U+045B	#CYRILLIC SMALL LETTER TSHE
0x9F	U+045F	#CYRILLIC SMALL LETTER DZHE
0xA0	U+00A0	#NO-BREAK SPACE
0xA1	U+040E	#CYRILLIC CAPITAL LETTER SHORT U
0xA2	U+045E	#CYRILLIC SMALL LETTER SHORT U
