#Shall this become the "default" translation?
#There has to be exactly one table marked as "default".
D0
#
#The MIME name of this charset.
Mwindows-1252

#Name as a Display Charset (used on Options screen)
OWestern (windows-1252)

#Codepage number
C1252

#
#    Name:     cp1252 to Unicode table
#    Unicode version: 2.0
#    Table version: 2.01
#    Table format:  Format A
#    Date:          04/15/98
#
#    Contact:       cpxlate@microsoft.com
#
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp1252 code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp1252 order
#
##################
# Lines with more than one Unicode (U+XXXX) value contain additional
# replacement mappings added for lynx. - kw

0x20-0x7e       idem
#
0x80	U+20AC	#EURO SIGN
0x81	      	#UNDEFINED
0x82	U+201A	#SINGLE LOW-9 QUOTATION MARK
0x83	U+0192	#LATIN SMALL LETTER F WITH HOOK
0x84	U+201E	#DOUBLE LOW-9 QUOTATION MARK
0x85	U+2026	#HORIZONTAL ELLIPSIS
0x86	U+2020	#DAGGER
0x87	U+2021	#DOUBLE DAGGER
0x88	U+02C6	U+0302	#MODIFIER LETTER CIRCUMFLEX ACCENT
0x89	U+2030	#PER MILLE SIGN
0x8A	U+0160	#LATIN CAPITAL LETTER S WITH CARON
0x8B	U+2039	#SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0x8C	U+0152	#LATIN CAPITAL LIGATURE OE
0x8D	      	#UNDEFINED
0x8E	U+017D	#LATIN CAPITAL LETTER Z WITH CARON
0x8F	      	#UNDEFINED
0x90	      	#UNDEFINED
0x91	U+2018	#LEFT SINGLE QUOTATION MARK
0x92	U+2019	#RIGHT SINGLE QUOTATION MARK
0x93	U+201C	#LEFT DOUBLE QUOTATION MARK
0x94	U+201D	U+02dd	U+030b	#RIGHT DOUBLE QUOTATION MARK
0x95	U+2022	#BULLET
0x96	U+2013	#EN DASH
0x97	U+2014	#EM DASH
0x98	U+02DC	#SMALL TILDE
0x99	U+2122	#TRADE MARK SIGN
0x9A	U+0161	#LATIN SMALL LETTER S WITH CARON
0x9B	U+203A	#SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0x9C	U+0153	#LATIN SMALL LIGATURE OE
0x9D	      	#UNDEFINED
