#The MIME name of this charset. 
Mcp737

#Name as a Display Charset (used on Options screen)
ODosGreek (cp737)

#
#    Name:     cp737_DOSGreek to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp737_DOSGreek code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp737_DOSGreek order
#
##################

0x20-0x7f       idem
#
0x80	U+0391	#GREEK CAPITAL LETTER ALPHA
0x81	U+0392	#GREEK CAPITAL LETTER BETA
0x82	U+0393	#GREEK CAPITAL LETTER GAMMA
0x83	U+0394	#GREEK CAPITAL LETTER DELTA
0x84	U+0395	#GREEK CAPITAL LETTER EPSILON
0x85	U+0396	#GREEK CAPITAL LETTER ZETA
0x86	U+0397	#GREEK CAPITAL LETTER ETA
0x87	U+0398	#GREEK CAPITAL LETTER THETA
0x88	U+0399	#GREEK CAPITAL LETTER IOTA
0x89	U+039a	#GREEK CAPITAL LETTER KAPPA
0x8a	U+039b	#GREEK CAPITAL LETTER LAMDA
0x8b	U+039c	#GREEK CAPITAL LETTER MU
0x8c	U+039d	#GREEK CAPITAL LETTER NU
0x8d	U+039e	#GREEK CAPITAL LETTER XI
0x8e	U+039f	#GREEK CAPITAL LETTER OMICRON
0x8f	U+03a0	#GREEK CAPITAL LETTER PI
0x90	U+03a1	#GREEK CAPITAL LETTER RHO
0x91	U+03a3	#GREEK CAPITAL LETTER SIGMA
0x92	U+03a4	#GREEK CAPITAL LETTER TAU
0x93	U+03a5	#GREEK CAPITAL LETTER UPSILON
0x94	U+03a6	#GREEK CAPITAL LETTER PHI
0x95	U+03a7	#GREEK CAPITAL LETTER CHI
0x96	U+03a8	#GREEK CAPITAL LETTER PSI
0x97	U+03a9	#GREEK CAPITAL LETTER OMEGA
