#The MIME name of this charset. 
Mcp775

#Name as a Display Charset (used on Options screen)
ODosBaltRim (cp775)

#    Name:     cp775_DOSBaltRim to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp775_DOSBaltRim code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp775_DOSBaltRim order
#
#0x00	U+0000	#NULL
#0x01	U+0001	#START OF HEADING
#0x02	U+0002	#START OF TEXT
#0x03	U+0003	#END OF TEXT
#0x04	U+0004	#END OF TRANSMISSION
#0x05	U+0005	#ENQUIRY
#0x06	U+0006	#ACKNOWLEDGE
#0x07	U+0007	#BELL
#0x08	U+0008	#BACKSPACE
#0x09	U+0009	#HORIZONTAL TABULATION
#0x0a	U+000a	#LINE FEED
#0x0b	U+000b	#VERTICAL TABULATION
#0x0c	U+000c	#FORM FEED
#0x0d	U+000d	#CARRIAGE RETURN
#0x0e	U+000e	#SHIFT OUT
#0x0f	U+000f	#SHIFT IN
#0x10	U+0010	#DATA LINK ESCAPE
#0x11	U+0011	#DEVICE CONTROL ONE
#0x12	U+0012	#DEVICE CONTROL TWO
#0x13	U+0013	#DEVICE CONTROL THREE
#0x14	U+0014	#DEVICE CONTROL FOUR
#0x15	U+0015	#NEGATIVE ACKNOWLEDGE
#0x16	U+0016	#SYNCHRONOUS IDLE
#0x17	U+0017	#END OF TRANSMISSION BLOCK
#0x18	U+0018	#CANCEL
#0x19	U+0019	#END OF MEDIUM
#0x1a	U+001a	#SUBSTITUTE
#0x1b	U+001b	#ESCAPE
#0x1c	U+001c	#FILE SEPARATOR
#0x1d	U+001d	#GROUP SEPARATOR
#0x1e	U+001e	#RECORD SEPARATOR
#0x1f	U+001f	#UNIT SEPARATOR
0x20	U+0020	#SPACE
0x21	U+0021	#EXCLAMATION MARK
0x22	U+0022	#QUOTATION MARK
0x23	U+0023	#NUMBER SIGN
0x24	U+0024	#DOLLAR SIGN
0x25	U+0025	#PERCENT SIGN
0x26	U+0026	#AMPERSAND
0x27	U+0027	#APOSTROPHE
0x28	U+0028	#LEFT PARENTHESIS
0x29	U+0029	#RIGHT PARENTHESIS
0x2a	U+002a	#ASTERISK
0x2b	U+002b	#PLUS SIGN
0x2c	U+002c	#COMMA
0x2d	U+002d	#HYPHEN-MINUS
0x2e	U+002e	#FULL STOP
0x2f	U+002f	#SOLIDUS
0x30	U+0030	#DIGIT ZERO
0x31	U+0031	#DIGIT ONE
0x32	U+0032	#DIGIT TWO
0x33	U+0033	#DIGIT THREE
0x34	U+0034	#DIGIT FOUR
0x35	U+0035	#DIGIT FIVE
0x36	U+0036	#DIGIT SIX
0x37	U+0037	#DIGIT SEVEN
0x38	U+0038	#DIGIT EIGHT
0x39	U+0039	#DIGIT NINE
0x3a	U+003a	#COLON
0x3b	U+003b	#SEMICOLON
0x3c	U+003c	#LESS-THAN SIGN
0x3d	U+003d	#EQUALS SIGN
0x3e	U+003e	#GREATER-THAN SIGN
0x3f	U+003f	#QUESTION MARK
0x40	U+0040	#COMMERCIAL AT
0x41	U+0041	#LATIN CAPITAL LETTER A
0x42	U+0042	#LATIN CAPITAL LETTER B
0x43	U+0043	#LATIN CAPITAL LETTER C
0x44	U+0044	#LATIN CAPITAL LETTER D
0x45	U+0045	#LATIN CAPITAL LETTER E
0x46	U+0046	#LATIN CAPITAL LETTER F
0x47	U+0047	#LATIN CAPITAL LETTER G
0x48	U+0048	#LATIN CAPITAL LETTER H
0x49	U+0049	#LATIN CAPITAL LETTER I
0x4a	U+004a	#LATIN CAPITAL LETTER J
0x4b	U+004b	#LATIN CAPITAL LETTER K
0x4c	U+004c	#LATIN CAPITAL LETTER L
0x4d	U+004d	#LATIN CAPITAL LETTER M
0x4e	U+004e	#LATIN CAPITAL LETTER N
