#The MIME name of this charset.
Mcp862

#Name as a Display Charset (used on Options screen).
OHebrew (cp862)

#Codepage number
C862

#    Name:     cp862_DOSHebrew to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp862_DOSHebrew code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp862_DOSHebrew order
#
##################

0x20-0x7f       idem
#
0x80	U+05d0	#HEBREW LETTER ALEF
0x81	U+05d1	#HEBREW LETTER BET
0x82	U+05d2	#HEBREW LETTER GIMEL
0x83	U+05d3	#HEBREW LETTER DALET
0x84	U+05d4	#HEBREW LETTER HE
0x85	U+05d5	#HEBREW LETTER VAV
0x86	U+05d6	#HEBREW LETTER ZAYIN
0x87	U+05d7	#HEBREW LETTER HET
0x88	U+05d8	#HEBREW LETTER TET
0x89	U+05d9	#HEBREW LETTER YOD
0x8a	U+05da	#HEBREW LETTER FINAL KAF
0x8b	U+05db	#HEBREW LETTER KAF
0x8c	U+05dc	#HEBREW LETTER LAMED
0x8d	U+05dd	#HEBREW LETTER FINAL MEM
0x8e	U+05de	#HEBREW LETTER MEM
0x8f	U+05df	#HEBREW LETTER FINAL NUN
0x90	U+05e0	#HEBREW LETTER NUN
0x91	U+05e1	#HEBREW LETTER SAMEKH
0x92	U+05e2	#HEBREW LETTER AYIN
0x93	U+05e3	#HEBREW LETTER FINAL PE
0x94	U+05e4	#HEBREW LETTER PE
0x95	U+05e5	#HEBREW LETTER FINAL TSADI
0x96	U+05e6	#HEBREW LETTER TSADI
0x97	U+05e7	#HEBREW LETTER QOF
0x98	U+05e8	#HEBREW LETTER RESH
0x99	U+05e9	#HEBREW LETTER SHIN
0x9a	U+05ea	#HEBREW LETTER TAV
0x9b	U+00a2	#CENT SIGN
0x9c	U+00a3	#POUND SIGN
0x9d	U+00a5	#YEN SIGN
0x9e	U+20a7	#PESETA SIGN
0x9f	U+0192	#LATIN SMALL LETTER F WITH HOOK
0xa0	U+00e1	#LATIN SMALL LETTER A WITH ACUTE
0xa1	U+00ed	#LATIN SMALL LETTER I WITH ACUTE
0xa2	U+00f3	#LATIN SMALL LETTER O WITH ACUTE
0xa3	U+00fa	#LATIN SMALL LETTER U WITH ACUTE
0xa4	U+00f1	#LATIN SMALL LETTER N WITH TILDE
0xa5	U+00d1	#LATIN CAPITAL LETTER N WITH TILDE
0xa6	U+00aa	#FEMININE ORDINAL INDICATOR
0xa7	U+00ba	#MASCULINE ORDINAL INDICATOR
0xa8	U+00bf	#INVERTED QUESTION MARK
0xa9	U+2310	#REVERSED NOT SIGN
0xaa	U+00ac	#NOT SIGN
0xab	U+00bd	#VULGAR FRACTION ONE HALF
0xac	U+00bc	#VULGAR FRACTION ONE QUARTER
0xad	U+00a1	#INVERTED EXCLAMATION MARK
0xae	U+00ab	#LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xaf	U+00bb	#RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xb0	U+2591	#LIGHT SHADE
0xb1	U+2592	#MEDIUM SHADE
0xb2	U+2593	#DARK SHADE
0xb3	U+2502	#BOX DRAWINGS LIGHT VERTICAL
0xb4	U+2524	#BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xb5	U+2561	#BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0xb6	U+2562	#BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
0xb7	U+2556	#BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
0xb8	U+2555	#BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
0xb9	U+2563	#BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xba	U+2551	#BOX DRAWINGS DOUBLE VERTICAL
0xbb	U+2557	#BOX DRAWINGS DOUBLE DOWN AND LEFT
0xbc	U+255d	#BOX DRAWINGS DOUBLE UP AND LEFT
0xbd	U+255c	#BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
