#The MIME name of this charset.
Mcp864

#Name as a Display Charset (used on Options screen).
OArabic (cp864)

#Codepage number
C864

#    Name:     cp864_DOSArabic to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp864_DOSArabic code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp864_DOSArabic order
#
##################

0x20-0x7f       idem
#
0x80	U+00b0	#DEGREE SIGN
0x81	U+00b7	#MIDDLE DOT
0x82	U+2219	#BULLET OPERATOR
0x83	U+221a	#SQUARE ROOT
0x84	U+2592	#MEDIUM SHADE
0x85	U+2500	#FORMS LIGHT HORIZONTAL
0x86	U+2502	#FORMS LIGHT VERTICAL
0x87	U+253c	#FORMS LIGHT VERTICAL AND HORIZONTAL
0x88	U+2524	#FORMS LIGHT VERTICAL AND LEFT
0x89	U+252c	#FORMS LIGHT DOWN AND HORIZONTAL
0x8a	U+251c	#FORMS LIGHT VERTICAL AND RIGHT
0x8b	U+2534	#FORMS LIGHT UP AND HORIZONTAL
0x8c	U+2510	#FORMS LIGHT DOWN AND LEFT
0x8d	U+250c	#FORMS LIGHT DOWN AND RIGHT
0x8e	U+2514	#FORMS LIGHT UP AND RIGHT
0x8f	U+2518	#FORMS LIGHT UP AND LEFT
0x90	U+03b2	#GREEK SMALL BETA
0x91	U+221e	#INFINITY
0x92	U+03c6	#GREEK SMALL PHI
0x93	U+00b1	#PLUS-OR-MINUS SIGN
0x94	U+00bd	#FRACTION 1/2
0x95	U+00bc	#FRACTION 1/4
0x96	U+2248	#ALMOST EQUAL TO
0x97	U+00ab	#LEFT POINTING GUILLEMET
0x98	U+00bb	#RIGHT POINTING GUILLEMET
0x99	U+fef7	#ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE ISOLATED FORM
0x9a	U+fef8	#ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE FINAL FORM
#0x9b		#UNDEFINED
#0x9c		#UNDEFINED
0x9d	U+fefb	#ARABIC LIGATURE LAM WITH ALEF ISOLATED FORM
0x9e	U+fefc	#ARABIC LIGATURE LAM WITH ALEF FINAL FORM
#0x9f		#UNDEFINED
0xa0	U+00a0	#NON-BREAKING SPACE
0xa1	U+00ad	#SOFT HYPHEN
