# This file has been modified for lynx (see README.tables)

#The MIME name of this charset.
Mcp866

#Name as a Display Charset (used on Options screen)
OCyrillic (cp866)

#Codepage number
C866

#
#    Name:     cp866_DOSCyrillicRussian to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp866_DOSCyrillicRussian code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp866_DOSCyrillicRussian order
#
0x20-0x7f       idem
#
0x80    U+0410  #CYRILLIC CAPITAL LETTER A
0x81    U+0411  #CYRILLIC CAPITAL LETTER BE
0x82    U+0412  #CYRILLIC CAPITAL LETTER VE
0x83    U+0413  #CYRILLIC CAPITAL LETTER GHE
0x84    U+0414  #CYRILLIC CAPITAL LETTER DE
0x85    U+0415  #CYRILLIC CAPITAL LETTER IE
0x86    U+0416  #CYRILLIC CAPITAL LETTER ZHE
0x87    U+0417  #CYRILLIC CAPITAL LETTER ZE
0x88    U+0418  #CYRILLIC CAPITAL LETTER I
0x89    U+0419  #CYRILLIC CAPITAL LETTER SHORT I
0x8a    U+041a  #CYRILLIC CAPITAL LETTER KA
0x8b    U+041b  #CYRILLIC CAPITAL LETTER EL
0x8c    U+041c  #CYRILLIC CAPITAL LETTER EM
0x8d    U+041d  #CYRILLIC CAPITAL LETTER EN
0x8e    U+041e  #CYRILLIC CAPITAL LETTER O
0x8f    U+041f  #CYRILLIC CAPITAL LETTER PE
0x90    U+0420  #CYRILLIC CAPITAL LETTER ER
0x91    U+0421  #CYRILLIC CAPITAL LETTER ES
0x92    U+0422  #CYRILLIC CAPITAL LETTER TE
0x93    U+0423  #CYRILLIC CAPITAL LETTER U
0x94    U+0424  #CYRILLIC CAPITAL LETTER EF
0x95    U+0425  #CYRILLIC CAPITAL LETTER HA
0x96    U+0426  #CYRILLIC CAPITAL LETTER TSE
0x97    U+0427  #CYRILLIC CAPITAL LETTER CHE
0x98    U+0428  #CYRILLIC CAPITAL LETTER SHA
0x99    U+0429  #CYRILLIC CAPITAL LETTER SHCHA
0x9a    U+042a  #CYRILLIC CAPITAL LETTER HARD SIGN
0x9b    U+042b  #CYRILLIC CAPITAL LETTER YERU
0x9c    U+042c  #CYRILLIC CAPITAL LETTER SOFT SIGN
0x9d    U+042d  #CYRILLIC CAPITAL LETTER E
0x9e    U+042e  #CYRILLIC CAPITAL LETTER YU
0x9f    U+042f  #CYRILLIC CAPITAL LETTER YA
0xa0    U+0430  #CYRILLIC SMALL LETTER A
0xa1    U+0431  #CYRILLIC SMALL LETTER BE
0xa2    U+0432  #CYRILLIC SMALL LETTER VE
0xa3    U+0433  #CYRILLIC SMALL LETTER GHE
0xa4    U+0434  #CYRILLIC SMALL LETTER DE
0xa5    U+0435  #CYRILLIC SMALL LETTER IE
0xa6    U+0436  #CYRILLIC SMALL LETTER ZHE
0xa7    U+0437  #CYRILLIC SMALL LETTER ZE
0xa8    U+0438  #CYRILLIC SMALL LETTER I
0xa9    U+0439  #CYRILLIC SMALL LETTER SHORT I
0xaa    U+043a  #CYRILLIC SMALL LETTER KA
0xab    U+043b  #CYRILLIC SMALL LETTER EL
0xac    U+043c  #CYRILLIC SMALL LETTER EM
0xad    U+043d  #CYRILLIC SMALL LETTER EN
0xae    U+043e  #CYRILLIC SMALL LETTER O
0xaf    U+043f  #CYRILLIC SMALL LETTER PE
0xb0    U+2591  #LIGHT SHADE
0xb1    U+2592  #MEDIUM SHADE
0xb2    U+2593  #DARK SHADE
0xb3    U+2502  #BOX DRAWINGS LIGHT VERTICAL
0xb4    U+2524  #BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xb5    U+2561  #BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0xb6    U+2562  #BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
