# The MIME name of this charset.
Miso-8859-15

# Name as a Display Charset (used on Options screen)
OWestern (ISO-8859-15)

# This is not the default font!
D0

#Codepage number
#?

#
# Name:		ISO 8859-15 Latin 9 (1998) to Unicode
# Date:		1999-01-01
# Authors:	Christian "naddy" Weisgerber <naddy@mips.rhein-neckar.de>
#
# Remarks:	Latin 9 is identical to Latin 1	except for
#		code positions A4, A6, A8, B4, B8, BC, BD, BE

0x20-0x7E idem	#	ASCII

#0x20	U+0020	#	SPACE
#0x21	U+0021	#	EXCLAMATION MARK
#0x22	U+0022	#	QUOTATION MARK
#0x23	U+0023	#	NUMBER SIGN
#0x24	U+0024	#	DOLLAR SIGN
#0x25	U+0025	#	PERCENT SIGN
#0x26	U+0026	#	AMPERSAND
#0x27	U+0027	#	APOSTROPHE
#0x28	U+0028	#	LEFT PARENTHESIS
#0x29	U+0029	#	RIGHT PARENTHESIS
#0x2A	U+002A	#	ASTERISK
#0x2B	U+002B	#	PLUS SIGN
#0x2C	U+002C	#	COMMA
#0x2D	U+002D	#	HYPHEN-MINUS
#0x2E	U+002E	#	FULL STOP
#0x2F	U+002F	#	SOLIDUS
#0x30	U+0030	#	DIGIT ZERO
#0x31	U+0031	#	DIGIT ONE
#0x32	U+0032	#	DIGIT TWO
#0x33	U+0033	#	DIGIT THREE
#0x34	U+0034	#	DIGIT FOUR
#0x35	U+0035	#	DIGIT FIVE
#0x36	U+0036	#	DIGIT SIX
#0x37	U+0037	#	DIGIT SEVEN
#0x38	U+0038	#	DIGIT EIGHT
#0x39	U+0039	#	DIGIT NINE
#0x3A	U+003A	#	COLON
#0x3B	U+003B	#	SEMICOLON
#0x3C	U+003C	#	LESS-THAN SIGN
#0x3D	U+003D	#	EQUALS SIGN
#0x3E	U+003E	#	GREATER-THAN SIGN
#0x3F	U+003F	#	QUESTION MARK
#0x40	U+0040	#	COMMERCIAL AT
#0x41	U+0041	#	LATIN CAPITAL LETTER A
#0x42	U+0042	#	LATIN CAPITAL LETTER B
#0x43	U+0043	#	LATIN CAPITAL LETTER C
#0x44	U+0044	#	LATIN CAPITAL LETTER D
#0x45	U+0045	#	LATIN CAPITAL LETTER E
#0x46	U+0046	#	LATIN CAPITAL LETTER F
#0x47	U+0047	#	LATIN CAPITAL LETTER G
#0x48	U+0048	#	LATIN CAPITAL LETTER H
#0x49	U+0049	#	LATIN CAPITAL LETTER I
#0x4A	U+004A	#	LATIN CAPITAL LETTER J
#0x4B	U+004B	#	LATIN CAPITAL LETTER K
#0x4C	U+004C	#	LATIN CAPITAL LETTER L
#0x4D	U+004D	#	LATIN CAPITAL LETTER M
#0x4E	U+004E	#	LATIN CAPITAL LETTER N
#0x4F	U+004F	#	LATIN CAPITAL LETTER O
#0x50	U+0050	#	LATIN CAPITAL LETTER P
#0x51	U+0051	#	LATIN CAPITAL LETTER Q
#0x52	U+0052	#	LATIN CAPITAL LETTER R
#0x53	U+0053	#	LATIN CAPITAL LETTER S
#0x54	U+0054	#	LATIN CAPITAL LETTER T
#0x55	U+0055	#	LATIN CAPITAL LETTER U
#0x56	U+0056	#	LATIN CAPITAL LETTER V
#0x57	U+0057	#	LATIN CAPITAL LETTER W
#0x58	U+0058	#	LATIN CAPITAL LETTER X
#0x59	U+0059	#	LATIN CAPITAL LETTER Y
#0x5A	U+005A	#	LATIN CAPITAL LETTER Z
#0x5B	U+005B	#	LEFT SQUARE BRACKET
#0x5C	U+005C	#	REVERSE SOLIDUS
#0x5D	U+005D	#	RIGHT SQUARE BRACKET
#0x5E	U+005E	#	CIRCUMFLEX ACCENT
#0x5F	U+005F	#	LOW LINE
#0x60	U+0060	#	GRAVE ACCENT
#0x61	U+0061	#	LATIN SMALL LETTER A
#0x62	U+0062	#	LATIN SMALL LETTER B
#0x63	U+0063	#	LATIN SMALL LETTER C
#0x64	U+0064	#	LATIN SMALL LETTER D
#0x65	U+0065	#	LATIN SMALL LETTER E
#0x66	U+0066	#	LATIN SMALL LETTER F
#0x67	U+0067	#	LATIN SMALL LETTER G
#0x68	U+0068	#	LATIN SMALL LETTER H
#0x69	U+0069	#	LATIN SMALL LETTER I
#0x6A	U+006A	#	LATIN SMALL LETTER J
#0x6B	U+006B	#	LATIN SMALL LETTER K
#0x6C	U+006C	#	LATIN SMALL LETTER L
#0x6D	U+006D	#	LATIN SMALL LETTER M
#0x6E	U+006E	#	LATIN SMALL LETTER N
#0x6F	U+006F	#	LATIN SMALL LETTER O
#0x70	U+0070	#	LATIN SMALL LETTER P
#0x71	U+0071	#	LATIN SMALL LETTER Q
#0x72	U+0072	#	LATIN SMALL LETTER R
#0x73	U+0073	#	LATIN SMALL LETTER S
#0x74	U+0074	#	LATIN SMALL LETTER T
#0x75	U+0075	#	LATIN SMALL LETTER U
#0x76	U+0076	#	LATIN SMALL LETTER V
#0x77	U+0077	#	LATIN SMALL LETTER W
#0x78	U+0078	#	LATIN SMALL LETTER X
#0x79	U+0079	#	LATIN SMALL LETTER Y
#0x7A	U+007A	#	LATIN SMALL LETTER Z
#0x7B	U+007B	#	LEFT CURLY BRACKET
#0x7C	U+007C	#	VERTICAL LINE
#0x7D	U+007D	#	RIGHT CURLY BRACKET
#0x7E	U+007E	#	TILDE

0xA0	U+00A0	#	NO-BREAK SPACE
0xA1	U+00A1	#	INVERTED EXCLAMATION MARK
0xA2	U+00A2	#	CENT SIGN
0xA3	U+00A3	#	POUND SIGN
0xA4	U+20AC	#	EURO SIGN
0xA5	U+00A5	#	YEN SIGN
0xA6	U+0160	#	LATIN CAPITAL LETTER S WITH CARON
0xA7	U+00A7	#	SECTION SIGN
0xA8	U+0161	#	LATIN SMALL LETTER S WITH CARON
0xA9	U+00A9	#	COPYRIGHT SIGN
0xAA	U+00AA	#	FEMININE ORDINAL INDICATOR
0xAB	U+00AB	#	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAC	U+00AC	#	NOT SIGN
0xAD	U+00AD	#	SOFT HYPHEN
0xAE	U+00AE	#	REGISTERED SIGN
0xAF	U+00AF	#	MACRON
0xB0	U+00B0	#	DEGREE SIGN
0xB1	U+00B1	#	PLUS-MINUS SIGN
0xB2	U+00B2	#	SUPERSCRIPT TWO
0xB3	U+00B3	#	SUPERSCRIPT THREE
0xB4	U+017D	#	LATIN CAPITAL LETTER Z WITH CARON
0xB5	U+00B5	#	MICRO SIGN
0xB6	U+00B6	#	PILCROW SIGN
0xB7	U+00B7	#	MIDDLE DOT
0xB8	U+017D	#	LATIN SMALL LETTER Z WITH CARON
0xB9	U+00B9	#	SUPERSCRIPT ONE
0xBA	U+00BA	#	MASCULINE ORDINAL INDICATOR
0xBB	U+00BB	#	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xBC	U+0152	#	LATIN CAPITAL LIGATURE OE
0xBD	U+0153	#	LATIN SMALL LIGATURE OE
0xBE	U+0178	#	LATIN CAPITAL LETTER Y WITH DIAERESIS
0xBF	U+00BF	#	INVERTED QUESTION MARK
0xC0	U+00C0	#	LATIN CAPITAL LETTER A WITH GRAVE
0xC1	U+00C1	#	LATIN CAPITAL LETTER A WITH ACUTE
0xC2	U+00C2	#	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xC3	U+00C3	#	LATIN CAPITAL LETTER A WITH TILDE
0xC4	U+00C4	#	LATIN CAPITAL LETTER A WITH DIAERESIS
0xC5	U+00C5	#	LATIN CAPITAL LETTER A WITH RING ABOVE
0xC6	U+00C6	#	LATIN CAPITAL LETTER AE
0xC7	U+00C7	#	LATIN CAPITAL LETTER C WITH CEDILLA
0xC8	U+00C8	#	LATIN CAPITAL LETTER E WITH GRAVE
0xC9	U+00C9	#	LATIN CAPITAL LETTER E WITH ACUTE
0xCA	U+00CA	#	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0xCB	U+00CB	#	LATIN CAPITAL LETTER E WITH DIAERESIS
0xCC	U+00CC	#	LATIN CAPITAL LETTER I WITH GRAVE
0xCD	U+00CD	#	LATIN CAPITAL LETTER I WITH ACUTE
0xCE	U+00CE	#	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xCF	U+00CF	#	LATIN CAPITAL LETTER I WITH DIAERESIS
0xD0	U+00D0	#	LATIN CAPITAL LETTER ETH
0xD1	U+00D1	#	LATIN CAPITAL LETTER N WITH TILDE
0xD2	U+00D2	#	LATIN CAPITAL LETTER O WITH GRAVE
0xD3	U+00D3	#	LATIN CAPITAL LETTER O WITH ACUTE
0xD4	U+00D4	#	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xD5	U+00D5	#	LATIN CAPITAL LETTER O WITH TILDE
0xD6	U+00D6	#	LATIN CAPITAL LETTER O WITH DIAERESIS
0xD7	U+00D7	#	MULTIPLICATION SIGN
0xD8	U+00D8	#	LATIN CAPITAL LETTER O WITH STROKE
0xD9	U+00D9	#	LATIN CAPITAL LETTER U WITH GRAVE
0xDA	U+00DA	#	LATIN CAPITAL LETTER U WITH ACUTE
0xDB	U+00DB	#	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xDC	U+00DC	#	LATIN CAPITAL LETTER U WITH DIAERESIS
0xDD	U+00DD	#	LATIN CAPITAL LETTER Y WITH ACUTE
0xDE	U+00DE	#	LATIN CAPITAL LETTER THORN
0xDF	U+00DF	#	LATIN SMALL LETTER SHARP S
0xE0	U+00E0	#	LATIN SMALL LETTER A WITH GRAVE
0xE1	U+00E1	#	LATIN SMALL LETTER A WITH ACUTE
0xE2	U+00E2	#	LATIN SMALL LETTER A WITH CIRCUMFLEX
0xE3	U+00E3	#	LATIN SMALL LETTER A WITH TILDE
0xE4	U+00E4	#	LATIN SMALL LETTER A WITH DIAERESIS
0xE5	U+00E5	#	LATIN SMALL LETTER A WITH RING ABOVE
0xE6	U+00E6	#	LATIN SMALL LETTER AE
0xE7	U+00E7	#	LATIN SMALL LETTER C WITH CEDILLA
0xE8	U+00E8	#	LATIN SMALL LETTER E WITH GRAVE
0xE9	U+00E9	#	LATIN SMALL LETTER E WITH ACUTE
0xEA	U+00EA	#	LATIN SMALL LETTER E WITH CIRCUMFLEX
0xEB	U+00EB	#	LATIN SMALL LETTER E WITH DIAERESIS
0xEC	U+00EC	#	LATIN SMALL LETTER I WITH GRAVE
0xED	U+00ED	#	LATIN SMALL LETTER I WITH ACUTE
0xEE	U+00EE	#	LATIN SMALL LETTER I WITH CIRCUMFLEX
